title,clicks
AI study - Cook - Star soup,15
AI study - Cook - Zucchini curry,14
AI study - Recipe - Spinach lasagna,14
AI study - Cook - Stewed bell pepper,12
AI study - Cook - Coriander rice,10
AI study - Cook - Tomato soup with basil,10
AI study - Cook - Dahl with spinach,9
AI study - Cook - Pasta bake with minced meat and zucchini,9
AI study - Cook - Penne with carrot-tomato sauce,7
AI study - Cook - Stewed zucchini,7
AI study - Cook - Tian with eggplant,7
AI study - Recipe - Penne with carrot-tomato sauce,7
AI study - Recipe - Stewed bell pepper,7
AI study - Cook - Eggplant puree with coriander,6
AI study - Cook - Roasted eggplant,6
AI study - Cook - Spicy carrot soup,6
AI study - Recipe - Dahl with spinach,6
AI study - Cook - Eggplant stew with celery,5
AI study - Cook - Eggplant with spring onion,5
AI study - Cook - Spinach lasagna,5
AI study - Recipe - Coriander rice,5
AI study - Recipe - Roasted eggplant,5
AI study - Recipe - Spinach with red pepper,5
AI study - Recipe - Star soup,5
AI study - Recipe - Tomato soup with basil,5
AI study - Recipe - Zucchini curry,5
AI study - Cook - Beetroot risotto,4
AI study - Cook - Pasta with red pepper,4
AI study - Cook - Spaghetti with zucchini and tomato-ham sauce,4
AI study - Cook - Spinach with red pepper,4
AI study - Cook - Stuffed chicken with bell peppers and rice,4
AI study - Recipe - Beetroot risotto,4
AI study - Recipe - Eggplant stew with celery,4
AI study - Recipe - Spicy carrot soup,4
AI study - Recipe - Tian with eggplant,4
AI study - Cook - Carrots with fresh ginger,3
"AI study - Cook - Zucchini, beetroot and spinach",3
AI study - Recipe - Carrots with fresh ginger,3
AI study - Recipe - Eggplant puree with coriander,3
AI study - Recipe - Pasta bake with minced meat and zucchini,3
AI study - Recipe - Pasta with red pepper,3
AI study - Recipe - Spaghetti with zucchini and tomato-ham sauce,3
AI study - Recipe - Stir-fried spinach with carrot,3
"AI study - Recipe - Zucchini, beetroot and spinach",3
AI study - Cook - Stir-fried spinach with carrot,2
AI study - Recipe - Stewed zucchini,2
AI study - Recipe - Stuffed chicken with bell peppers and rice,2
AI study - Recipe - Tomato and zucchini,2
AI study - Cook - Spice carrot soup,1
AI study - Cook - Stuffed bell peppers with white cheese and bell peppersauce,1
AI study - Cook - Tomato and zucchini,1
AI study - Recipe - Eggplant with spring onion,1
AI study - Recipe - Spice carrot soup,1
AI study - Recipe - Stuffed bell peppers with white cheese and bell peppersauce,1
,
,
,
,
,
,
,
,
